Afghanistan,Kabul,34.4667,69.1833
Albania,Tirane,41.3,19.8167
Algeria,Algiers,36.7,3.13333
American Samoa,Pago Pago,-14.2667,-170.717
Andorra,Andorra la Vella,42.5167,1.53333
Angola,Luanda,-8.83333,13.25
Antigua and Barbuda,W. Indies,17.3333,-61.8
Argentina,Buenos Aires,-36.5,-60
Armenia,Yerevan,40.1667,44.5167
Aruba,Oranjestad,12.5333,-70.0333
Australia,Canberra (Use Sydney),-35.25,149.133
Austria,Vienna,48.2,16.3667
Azerbaijan,Baku,40.4833,49.9333
Bahamas,Nassau,25.0833,-77.3333
Bahrain,Manama,26.1667,50.5
Bangladesh,Dhaka,23.7167,90.4333
Barbados,Bridgetown,13.0833,-59.5
Belarus,Minsk,53.8667,27.5
Belgium,Brussels,50.85,4.35
Belize,Belmopan,17.3,-88.5
Benin,Porto-Novo,6.38333,2.7
Bhutan,Thimphu,27.5167,89.75
Bolivia,La Paz,-16.3333,-68.1667
Bosnia and Herzegovina,Sarajevo,43.8667,18.4333
Botswana,Gaborone,-24.75,25.95
Brazil,Brasilia,-15.7833,-47.9167
British Virgin Islands,Road Town,18.45,-64.6167
Brunei Darussalam,Bandar Seri Begawan,4.86667,115
Bulgaria,Sofia,42.75,23.3333
Burkina Faso,Ouagadougou,12.25,-1.5
Burundi,Bujumbura,-3.26667,29.3
Cambodia,Phnom Penh,11.55,104.917
Cameroon,Yaounde,3.83333,11.5833
Canada,Ottawa,45.45,-75.7
Cape Verde,Praia,15.0333,-23.5667
Cayman Islands,George Town,19.3333,-81.4
Central African Republic,Bangui,4.38333,18.5833
Chad,N'Djamena,12.1667,14.9833
Chile,Santiago,-33.4,-70.6667
China,Beijing,39.9167,116.333
Colombia,Bogota,4.56667,-74
Comros,Moroni,-11.6667,43.2667
Congo,Brazzaville,-4.15,15.2
Costa Rica,San Jose,9.91667,-84.0333
Cote d'Ivoire,Yamoussoukro,6.81667,-5.28333
Croatia,Zagreb,45.8333,15.9667
Cuba,Havana,23.1333,-82.3667
Cyprus,Nicosia,35.1667,33.4167
Czech Republic,Prague,50.0833,14.3667
Democratic People's Republic of,P'yongyang,39.15,125.5
Democratic Republic of the Congo,Kinshasa,-4.33333,15.25
Denmark,Copenhagen,55.6833,12.5667
Djibouti,Djibouti,11.1333,42.3333
Dominica,Roseau,15.3333,-61.4
Dominica Republic,Santo Domingo,18.5,-69.9833
East Timor,Dili,-8.48333,125.567
Ecuador,Quito,-0.25,-78.5833
Egypt,Cairo,30.0167,31.2333
El Salvador,San Salvador,13.6667,-89.1667
Equatorial Guinea,Malabo,3.75,8.83333
Eritrea,Asmara,15.3167,38.9167
Estonia,Tallinn,59.3667,24.8
Ethiopia,Addis Ababa,9.03333,38.7
Falkland Islands (Malvinas),Stanley,-51.6667,-59.85
Faroe Islands,Torshavn,62.0833,-6.93333
Fiji,Suva,-18.1,178.5
Finland,Helsinki,60.25,25.05
France,Paris,48.8333,2.33333
French Guiana,Cayenne,5.08333,-52.3
French Polynesia,Papeete,-17.5333,-149.567
Gabon,Libreville,0.416667,9.43333
Gambia,Banjul,13.4667,-16.6667
Georgia,T'bilisi,41.7167,44.8333
Germany,Berlin,52.5,13.4167
Ghana,Accra,5.58333,-0.1
Greece,Athens,37.9667,23.7667
Greenland,Nuuk,64.1667,-51.5833
Guadeloupe,Basse-Terre,16,-61.7333
Guatemala,Guatemala,14.6667,-90.3667
Guernsey,St. Peter Port,49.4333,-2.55
Guinea,Conakry,9.48333,-13.8167
Guinea-Bissau,Bissau,11.75,-15.75
Guyana,Georgetown,6.83333,-58.2
Haiti,Port-au-Prince,18.6667,-72.3333
Honduras,Tegucigalpa,14.0833,-87.2333
Hungary,Budapest,47.4833,19.0833
Iceland,Reykjavik,64.1667,-21.95
India,New Delhi,28.6167,77.2167
Indonesia,Jakarta,-6.15,106.817
Iran (Islamic Republic of),Tehran,35.7333,51.5
Iraq,Baghdad,33.3333,44.5
Ireland,Dublin,53.35,-6.25
Israel,Jerusalem,31.7833,35.2
Italy,Rome,41.9,12.4833
Jamaica,Kingston,18,-76.8333
Japan,Tokyo,35.682,139.69
Jordan,Amman,31.95,35.8667
Kazakhstan,Astana,51.1667,71.5
Kenya,Nairobi,-1.28333,36.8
Kiribati,Tarawa,1.5,173
Kuwait,Kuwait,29.5,48
Kyrgyzstan,Bishkek,42.9,74.7667
Lao People@s Democratic Republic,Vientiane,17.9667,102.6
Latvia,Riga,56.8833,24.1333
Lebanon,Beirut,33.8833,35.5167
Lesotho,Maseru,-29.3,27.5
Liberia,Monrovia,6.3,-10.7833
Libyan Arab Jamahiriya,Tripoli,32.8167,13.1167
Liechtenstein,Vaduz,47.1333,9.51667
Lithuania,Vilnius,54.6333,25.3167
Luxembourg,Luxembourg,49.6167,6.15
Madagascar,Antananarivo,-18.9167,47.5167
Malawi,Lilongwe,-14,33.8
Malaysia,Kuala Lumpur,3.15,101.683
Maldives,Male,4,73.4667
Mali,Bamako,12.5667,-7.91667
Malta,Valletta,35.9,14.5167
Martinique,Fort-de-France,14.6,-61.0333
Mauritania,Nouakchott,-20.1667,57.5
Mayotte,Mamoudzou,-12.8,45.2333
Mexico,Mexico,19.3333,-99.1667
Micronesia (Federated States of),Palikir,6.91667,158.15
Moldova (Republic of),Chisinau ,47.025,28.839
Mozambique,Maputo,-25.9667,32.5333
Myanmar,Yangon,16.75,96.3333
Namibia,Windhoek,-22.5833,17.0667
Nepal,Kathmandu,27.75,85.3333
Netherlands,Amsterdam,52.3833,4.9
Netherlands Antilles,Willemstad,12.0833,-69
New Caledonia,Noumea,-22.2833,166.5
New Zealand,Wellington,-41.3167,174.767
Nicaragua,Managua,12.1,-86.3333
Niger,Niamey,13.45,2.1
Nigeria,Abuja,9.08333,7.53333
Northern Mariana Islands,Saipan,15.2,145.75
Norway,Oslo,59.9167,10.75
Oman,Masqat,23.6167,58.6
Pakistan,Islamabad,33.6667,73.1667
Palau,Koror,7.33333,134.467
Panama,Panama,9,-79.4167
Papua New Guinea,Port Moresby,-9.4,147.133
Paraguay,Asuncion,-25.1667,-57.5
Peru,Lima,-12,-77
Philippines,Manila,14.6667,121.05
Poland,Warsaw,52.2167,21
Portugal,Lisbon,38.7,-9.16667
Puerto Rico,San Juan,18.4667,-66.1167
Qatar,Doha,25.25,51.5833
Republic of Korea,Seoul,37.5167,126.967
Romania,Bucuresti,44.45,26.1667
Russian Federation,Moskva,55.75,37.5833
Rwanda,Kigali,-1.98333,30.0667
Saint Kitts and Nevis,Basseterre,17.2833,-62.7167
Saint Lucia,Castries,14.0333,-60.9667
Saint Pierre and Miquelon,Saint-Pierre,46.7667,-56.2
Saint vincent and the Grenadines,Kingstown,13.1667,-61.1667
Samoa,Apia,-13.8333,-171.833
San Marino,San Marino,43.9167,12.5
Sao Tome and Principe,Sao Tome,0.166667,6.65
Saudi Arabia,Riyadh,24.6833,46.7
Senegal,Dakar,14.5667,-17.4833
Sierra Leone,Freetown,8.5,-13.2833
Singapore,Singapore,1.281,103.852
Slovakia,Bratislava,48.1667,17.1167
Slovenia,Ljubljana,46.0667,14.55
Solomon Islands,Honiara,-9.45,159.95
Somalia,Mogadishu,2.03333,45.4167
South Africa,Pretoria (Use Johannesburg),-25.7333,28.2
Spain,Madrid,40.4167,-3.75
Sudan,Khartoum,15.5167,32.5833
Suriname,Paramaribo,5.83333,-55.1667
Swaziland,Mbabane,-26.3,31.1
Sweden,Stockholm,59.3333,18.05
Switzerland,Bern,46.95,7.46667
Syrian Arab Republic,Damascus,33.5,36.3
Tajikistan,Dushanbe,38.55,68.8
Thailand,Bangkok,13.75,100.583
The Former Yugoslav Republic of Macedonia,Skopje,42.0167,21.4333
Togo,Lome,6.15,1.33333
Tonga,Nuku'alofa,-21.1667,-174
Tunisia,Tunis,36.8333,10.1833
Turkey,Ankara,39.95,32.9
Turkmenistan,Ashgabat,38,57.8333
Tuvalu,Funafuti,-8.51667,179.217
Uganda,Kampala,0.333333,32.5
Ukraine,Kiev,50.5,30.4667
United Arab Emirates,Abu Dhabi,24.4667,54.3667
United Kingdom of Great Britain and Northern Ireland,London,51.6,-0.0833333
United Republic of Tanzania,Dodoma,-6.13333,35.75
United States of America,Washington DC,38.895,-77.038
United States of Virgin Islands,Charlotte Amalie,18.35,-64.9333
Uruguay,Montevideo,-34.8333,-56.1833
Uzbekistan,Tashkent,41.3333,69.1667
Vanuatu,Port-Vila,-17.75,168.3
Venezuela,Caracas,10.5,-66.9167
Vietnam,Hanoi,21.0833,105.917
Yugoslavia,Belgrade,44.8333,20.6167
Zambia,Lusaka,-15.4667,28.2667
Zimbabwe,Harare,-17.7167,31.0333
